Date,Day of the Week,Times,Hours,Salary,Tips,,,,,,,,,,,,,
03/15/16,Tuesday,11:00-12:30,1.50,15.00,,,,,,MARCH:,20.25h,,,,161.47,135,,
03/18/16,Friday,11:00-1:30,2.50,25.00,,,,,,APRIL:,80.5h,,,GROSS,,805,,802
03/20/16,Sunday,11:00-5:30,6.50,65.00,50.00,,,,,MAY:,88.5h,,,GROSS,885,,#ERROR!,
03/21/16,Monday,12:30-4:15,3.75,37.50,20.00,,,,,JUNE:,$600,,,,,,,
03/25/16,Friday,11:00-5:00,6.00,60.00,65.00,,,,,JULY:,$917.50,,,,,,,
04/02/16,Saturday,11:00-5:15,6.25,62.50,65.00,,,,,AUGUST:,$962.50,,,,,,,
04/03/16,Sunday,11:00-5:30,6.50,65.00,60.00,,,,,SEPTEMBER:,$390,,,,,,,
04/04/16,Monday,12:30-4:30,4.00,40.00,35.00,,,,,OCTOBER:,63h;,$697.50,,,,,,
04/06/16,Wednesday,12:30-5:15,4.75,47.50,31.00,,,,,NOVEMBER:,,,,,,,,
04/10/16,Sunday,11:00-5:45,6.75,67.50,81.00,243.73,272,,,DECEMBER,,,,,,,,
04/11/16,Monday,12:30-4:45,4.25,42.50,54.00,,,,,,,,,,,,,
04/15/16,Friday,11:00-4:00,5.00,50.00,24.00,,,,,,,,,,,,,
04/16/16,Saturday,11:00-5:45,6.75,67.50,65.00,,,,,,,,,,,,,
04/18/16,Monday,12:30-3:15,2.75,27.50,25.00,,,,,,,,,,,,,
04/20/16,Wednesday,12:30-4:30,4.00,40.00,35.00,,,,,,,,,,,,,
04/23/16,Saturday,11:00-5:45,6.75,67.50,110.00,,,,,,,,,,,,,
04/24/16,Sunday,11:00-5:00,6.00,60.00,80.00,296.51,393,,,,,,,,,,,
04/25/16,Monday,12:30-4:30,4.00,40.00,22.00,,,,,,,,,,,,,
04/29/16,Friday,11:00-5:00,6.00,60.00,35.00,,,,,,,,,,,,,
04/30/16,Saturday,11:00-5:45,6.75,67.50,80.00,,,,,,,,,,,,,
05/01/16,Sunday,11:00-5:45,6.75,67.50,80.00,,,,,,,,,,,,,
05/02/16,Monday,12:30-4:45,4.25,42.50,36.00,,,,,,,,,,,,,
05/08/16,Sunday,11:00-9:00,10.00,110.00,232.00,301.79,485,,,,,,,,,,,
05/13/16,Friday,11:00-4:30,4.50,45.00,66.00,,,,,,,,,,,,,
05/14/16,Saturday,10:45-5:45,6.00,60.00,91.00,,,,,,,,,,,,,
05/15/16,Sunday,11:00-5:45,5.75,57.50,105.00,,,,,,,,,,,,,
05/16/16,Monday,12:30-4:00,4.50,45.00,50.00,,,,,,,,,,,,,
05/20/16,Friday,11:00-4:00,5.00,50.00,66.00,,,,,,,,,,,,,
05/22/16,Sunday,11:00-6:30,7.50,75.00,130.00,382.64,581,,,,,,,,,,,
05/23/16,Monday,12:15-4:30,4.25,42.50,33.00,,,,,,,,,,,,,
05/27/16,Friday,11:00-4:00,5.00,50.00,45.00,,,,,,,,,,,,,
05/28/16,Saturday,11:00-5:00,6.00,60.00,67.00,,,,,,,,,,,,,
05/29/16,Sunday,11:00-6:00,7.00,70.00,83.00,,,,,,,,,,,,,
05/30/16,Monday,11:00-3:00,4.00,40.00,48.00,,,,,,,,,,,,,
06/05/16,Sunday,11:00-5:30,5.50,55.00,93.00,278.15,369,,,,,,,,,,,
06/06/16,Monday,11:00-4:15,5.25,52.50,38.00,,,,,,,,,,,,,
06/07/16,Tuesday,11:00-4:00,5.00,50.00,58.00,,,,,,,,,,,,,
06/12/16,Sunday,11:00-5:00,6.00,60.00,80.00,,,,,,,,,,,,,
06/13/16,Monday,11:00-2:00,3.00,30.00,5.00,,,,,,,,,,,,,
06/19/16,Sunday,11:00-4:15,5.25,52.50,36.00,212.63,#ERROR!,,,,,,,,,,,
06/20/16,Monday,11:00-4:00,5.00,50.00,35.00,,,,,,,,,,,,,
06/24/16,Friday,11:00-4:15,5.25,52.50,60.00,,,,,,,,,,,,,
06/25/16,Saturday,11:00-6:30,7.50,75.00,75.00,,,,,,,,,,,,,
06/26/16,Sunday,11:00-5:15,6.25,62.50,67.00,,,,,,,,,,,,,
06/27/16,Monday,11:00-5:00,6.00,60.00,55.00,,,,,,,,,,,,,
07/02/16,Saturday,11:00-4:45,5.75,57.50,25.00,,,,,,,,,,,,,
07/03/16,Sunday,11:00-5:30,6.50,65.00,40.00,349.63,357,,,,,,,,,,,
07/09/16,Saturday,11:00-5:30,6.50,65.00,66.00,,,,,,,,,,,,,
07/10/16,Sunday,11:00-6:00,7.00,70.00,78.00,,,,,,,,,,,,,
07/11/16,Monday,11:00-3:45,4.75,47.50,40.00,,,,,,,,,,,,,
07/15/16,Friday,11:00-5:00,6.00,60.00,70.00,,,,,,,,,,,,,
07/16/16,Saturday,11:00-5:00,6.00,60.00,55.00,,,,,,,,,,,,,
07/17/16,Sunday,11:00-5:45,6.75,67.50,93.00,328.01,402,,,,,,,,,,,
07/22/16,Friday,11:00-4:45,5.75,57.50,45.00,,,,,,,,,,,,,
07/23/16,Saturday,11:00-6:00,7.00,70.00,68.00,,,,,,,,,,,,,
07/24/16,Sunday,11:00-5:00,6.00,60.00,75.00,,,,,,,,,,,,,
07/25/16,Monday,11:00-4:45,5.50,55.00,50.00,,,,,,,,,,,,,
07/29/16,Friday,11:00-5:00,6.00,60.00,70.00,,,,,,,,,,,,,
07/30/16,Saturday,11:00-5:30,6.50,65.00,62.00,,,,,,,,,,,,,
07/31/16,Sunday,11:00-4:45,5.75,57.50,55.00,351.64,425,,,,,,,,,,,
08/01/16,Monday,11:00-4:00,5.00,50.00,50.00,,,,,,,,,,,,,
08/05/16,Friday,11:00-5:00,6.00,60.00,70.00,,,,,,,,,,,,,
08/06/16,Saturday,11:00-6:00,7.00,70.00,73.00,,,,,,,,,,,,,
08/07/16,Sunday,11:00-5:15,6.25,62.50,69.00,,,,,,,,,,,,,
08/08/16,Monday,11:00-3:45,4.75,47.50,50.00,,,,,,,,,,,,,
08/10/16,Wednesday,11:00-4:30,5.50,55.00,46.00,,,,,,,,,,,,,
08/12/16,Friday,11:00-3:45,4.75,47.50,45.00,,,,,,,,,,,,,
08/13/16,Saturday,11:00-5:15,6.25,62.50,45.00,,,,,,,,,,,,,
08/14/16,Sunday,11:00-4:45,5.75,57.50,50.00,422.62,498,,,,,,,,,,,
08/15/16,Monday,11:00-4:15,5.25,52.50,40.00,,,,,,,,,,,,,
08/19/16,Friday,11:00-4:45,5.75,57.50,45.00,,,,,,,,,,,,,
08/20/16,Saturday,11:00-5:15,6.25,62.50,70.00,,,,,,,,,,,,,
08/21/16,Sunday,11:00-4:30,5.50,55.00,55.00,,,,,,,,,,,,,
08/22/16,Monday,11:00-4:45,5.75,57.50,73.00,,,,,,,,,,,,,
08/26/16,Friday,11:00-5:00,6.00,60.00,55.00,,,,,,,,,,,,,
08/27/16,Saturday,11:00-4:15,5.25,52.50,90.00,342.59,428,,,,,,,,,,,
08/29/16,Monday,11:00-4:15,5.25,52.50,40.00,,,,,,,,,,,,,
09/03/16,Saturday,11:00-4:30,5.50,55.00,50.00,,,,,,,,,,,,,
09/10/16,Saturday,11:00-5:45,6.75,67.50,80.00,,,,,,,,,,,,,
09/11/16,Sunday,11:00-5:30,6.50,65.00,60.00,204.13,230,,,,,,,,,,,
09/17/16,Saturday,11:00-6:15,7.25,72.50,85.00,,,,,,,,,,,,,
